Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
419307583,0,1,0,0
419307750,0,1,0,1
419307833,0,1,0,0
419308000,0,1,0,1
419308083,0,1,0,0
419308250,0,1,0,1
419308333,0,1,0,0
419308500,0,1,0,1
419308583,0,1,0,0
419308750,0,1,0,1
419308833,0,1,0,0
419309000,0,1,0,1
419309083,0,1,0,0
419309250,0,1,0,1
419309333,0,1,0,0
419309500,0,1,0,1
419309583,0,1,0,0
419309750,0,1,0,1
419309833,0,1,0,0
419310000,0,1,0,1
419310083,0,1,0,0
419310250,0,1,0,1
419310333,0,1,0,0
419310500,0,1,0,1
419310583,0,1,0,0
419310750,0,1,0,1
419310833,0,1,0,0
419311000,0,1,0,1
419311083,0,1,0,0
419311250,0,1,0,1
419311333,0,1,0,0
419311500,0,1,0,1
419311583,0,1,0,0
419311750,0,1,0,1
419311833,0,1,0,0
419312000,0,1,0,1
419312083,0,1,0,0
419312250,0,1,0,1
419312333,0,1,0,0
419312500,0,1,0,1
419312583,0,1,0,0
419312750,0,1,0,1
419312833,0,1,0,0
419313000,0,1,0,1
419313083,0,1,0,0
419313250,0,1,0,1
419313333,0,1,0,0
419313500,0,1,0,1
419313583,0,1,0,0
419313750,0,1,0,1
419313833,0,1,0,0
419314000,0,1,0,1
419314083,0,1,0,0
419314250,0,1,0,1
419314333,0,1,0,0
419314500,0,1,0,1
419314583,0,1,0,0
419314750,0,1,0,1
419314833,0,1,0,0
419315000,0,1,0,1
419315083,0,1,0,0
419315250,0,1,0,1
419315333,0,1,0,0
419315500,0,1,0,1
419315583,0,1,0,0
419315750,0,1,0,1
419315833,0,1,0,0
419316000,0,1,0,1
419316083,0,1,0,0
419316250,0,1,0,1
419316333,0,1,0,0
419316500,0,1,0,1
419316583,0,1,0,0
419316750,0,1,0,1
419316833,0,1,0,0
419317000,0,1,0,1
419317083,0,1,0,0
419317250,0,1,0,1
419317333,0,1,0,0
419317500,0,1,0,1
419317583,0,1,0,0
419317750,0,1,0,1
419317833,0,1,0,0
419318000,0,1,0,1
419318083,0,1,0,0
419318250,0,1,0,1
419318333,0,1,0,0
419318500,0,1,0,1
419318583,0,1,0,0
419318750,0,1,0,1
419318833,0,1,0,0
419319000,0,1,0,1
419319083,0,1,0,0
419319250,0,1,0,1
419319333,0,1,0,0
419319500,0,1,0,1
419319583,0,1,0,0
419319750,0,1,0,1
419319833,0,1,0,0
419320000,0,1,0,1
419320083,0,1,0,0
419320250,0,1,0,1
419320333,0,1,0,0
419320500,0,1,0,1
419320583,0,1,0,0
419320750,0,1,0,1
419320833,0,1,0,0
419321000,0,1,0,1
419321083,0,1,0,0
419321250,0,1,0,1
419321333,0,1,0,0
419321500,0,1,0,1
419321583,0,1,0,0
419321750,0,1,0,1
419321833,0,1,0,0
419322000,0,1,0,1
419322083,0,1,0,0
419322250,0,1,0,1
419322333,0,1,0,0
419322500,0,1,0,1
419322583,0,1,0,0
419322750,0,1,0,1
419322833,0,1,0,0
419323000,0,1,0,1
419323083,0,1,0,0
419323250,0,1,0,1
419323333,0,1,0,0
419323500,0,1,0,1
419323583,0,1,0,0
419323750,0,1,0,1
419323833,0,1,0,0
419324000,0,1,0,1
419324083,0,1,0,0
419324250,0,1,0,1
419324333,0,1,0,0
419324500,0,1,0,1
419324583,0,1,0,0
419324750,0,1,0,1
419324833,0,1,0,0
419325000,0,1,0,1
419325083,0,1,0,0
419325250,0,1,0,1
419325333,0,1,0,0
419325458,0,1,0,1
419325542,0,1,0,0
419325958,1,1,0,0
419332958,0,1,0,0
419334500,0,1,0,1
419334583,0,1,0,0
419334750,0,1,0,1
419334833,0,1,0,0
419335000,0,1,0,1
419335083,0,1,0,0
419335250,0,1,0,1
419335333,0,1,0,0
419335500,0,1,0,1
419335583,0,1,0,0
419335750,0,1,0,1
419335833,0,1,0,0
419336000,0,1,0,1
419336083,0,1,0,0
419336250,0,1,0,1
419336333,0,1,0,0
419336500,0,1,0,1
419336583,0,1,0,0
419336750,0,1,0,1
419336833,0,1,0,0
419337000,0,1,0,1
419337083,0,1,0,0
419337250,0,1,0,1
419337333,0,1,0,0
419337500,0,1,0,1
419337583,0,1,0,0
419337750,0,1,0,1
419337833,0,1,0,0
419338000,0,1,0,1
419338083,0,1,0,0
419338250,0,1,0,1
419338333,0,1,0,0
419338500,0,1,0,1
419338583,0,1,0,0
419338750,0,1,0,1
419338833,0,1,0,0
419339000,0,1,0,1
419339083,0,1,0,0
419339250,0,1,0,1
419339333,0,1,0,0
419339500,0,1,0,1
419339583,0,1,0,0
419339750,0,1,0,1
419339833,0,1,0,0
419340000,0,1,0,1
419340083,0,1,0,0
419340250,0,1,0,1
419340333,0,1,0,0
419340500,0,1,0,1
419340583,0,1,0,0
419340750,0,1,0,1
419340833,0,1,0,0
419341000,0,1,0,1
419341083,0,1,0,0
419341250,0,1,0,1
419341333,0,1,0,0
419341500,0,1,0,1
419341583,0,1,0,0
419341750,0,1,0,1
419341833,0,1,0,0
